Serviço;Link
Carta de Serviços ao Cidadão;https://wp.ufpel.edu.br/acessoainformacao/files/2018/03/Carta-de-Servicos-ao-Cidadao.pdf
Cidade de Pelotas;http://www.pelotasturismo.com.br/
ClinEq – Clínica Médica de Eqüinos;http://wp.ufpel.edu.br/clineq/
ClinPet – Clínica de Pequenos Animais;http://wp.ufpel.edu.br/clinpet/contatos/
CREJ – Conselho de Representantes das Empresas Juniores;http://wp.ufpel.edu.br/crej/
DEFENSA – Assessoria Criminal Popular;http://wp.ufpel.edu.br/libertas/extensao/defensa/
Editora Universitária;http://editora.ufpel.edu.br
Hospital de Clínicas Veterinária;http://wp.ufpel.edu.br/hcv/
Hospital Escola;http://www.heufpel.com.br/sites/heufpel/inicio.php
Inovação Tecnológica;http://wp.ufpel.edu.br/cit
LabUrb – Laboratório de Urbanismo;http://www.ufpel.edu.br/faurb/laburb/
LIBERTAS – Programa de Enfrentamento da Vulnerabilidade em Ambientes Prisionais;http://wp.ufpel.edu.br/libertas
LINSE – Laboratório de Inspeção de Eficiência Energética em Edificações;http://www.linse.ufpel.edu.br/
LIPOA – Inspeção de Leite e Derivados;http://fvet.ufpel.tche.br/inspleite/
MicVet – Micologia Veterinária;http://fvet.ufpel.edu.br/micvet/site/
NUPEEC – Pecuária;https://wp.ufpel.edu.br/nupeec/
NURFS – Reabilitação da Fauna Silvestre;http://wp.ufpel.edu.br/nurfs/
Oncologia Veterinária;http://wp.ufpel.edu.br/sovet
Suldesign Estúdio;http://wp.ufpel.edu.br/vitrinesuldesign/
